verb,voice,verb renamed,communicative,pure,discourse participation,state changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear classification,unclear usage,unclear sub-classification
dupe,passive,be duped,,,,,yes,,,,,,yes,,,
educate,passive,be educated,,,,,yes,,,,,,yes,,,
elaborate,active,elaborate,yes,,yes,,,,,,,,,,,
elate,passive,be elated,,,,,yes,yes,,,,,,,,
elect,active,elect,,,,,yes,,yes,,yes,,,,,
email,active,email,yes,yes,,,,,,,,,,,,
email,passive,be emailed,,,,,yes,,,,,,yes,,,
embarrass,passive,be embarrassed,,,,,yes,yes,,,,,,,,
embellish,active,embellish,yes,yes,,,,,,,,,,,,
embitter,passive,be embittered,,,,,yes,yes,,,,,,,,
emphasize,active,emphasize,yes,yes,,,,,,,,,,,,
encourage,passive,be encouraged,,,,,yes,yes,,,,,,,,
endorse,active,endorse,yes,,yes,,,,,,,,,,,
enjoy,active,enjoy,,,,,yes,yes,,,,,,,,
enrage,passive,be enraged,,,,,yes,yes,,,,,,,,
ensure,active,ensure,,,,,,,,,,,,yes,,
enthrall,passive,be enthralled,,,,,yes,yes,,,,,,,,
enthuse,passive,be enthused,,,,,yes,yes,,,,,,,,
envision,active,envision,,,,,yes,,yes,yes,,,,,,
envy,active,envy,,,,,yes,yes,,,,,,,,
establish,active,establish,yes,,yes,,,,,,,,,,,
estimate,active,estimate,,,,,yes,,yes,yes,,,,,,
evaluate,active,evaluate,,,,,yes,,yes,,yes,,,,,
exasperate,passive,be exasperated,,,,,yes,yes,,,,,,,,
excite,passive,be excited,,,,,yes,yes,,,,,,,,
exclaim,active,exclaim,yes,yes,,,,,,,,,,,,
exhibit,active,exhibit,yes,yes,,,,,,,,,,,,
exhilarate,passive,be exhilarated,,,,,yes,yes,,,,,,,,
expect,active,expect,,,,,yes,,yes,yes,,,,,,
explain,active,explain,yes,,yes,,,,,,,,,,,
expose,active,expose,yes,,,yes,,,,,,,,,,
express,active,express,yes,yes,,,,,,,,,,,,
fabricate,active,fabricate,yes,,,yes,,,,,,,,,,
fake,active,fake,yes,,,yes,,,,,,,,,,
fantasize,active,fantasize,,,,,yes,,yes,,,yes,,,,
fascinate,passive,be fascinated,,,,,yes,yes,,,,,,,,
fax,active,fax,yes,yes,,,,,,,,,,,,
fax,passive,be faxed,,,,,yes,,,,,,yes,,,
fear,active,fear,,,,,yes,yes,yes,yes,,,,,,
feel,active,feel,,,,,yes,,yes,yes,,,,,,
feign,active,feign,yes,,,yes,,,,,,,,,,
fess_up,active,fess up,yes,,yes,,,,,,,,,,,
figure,active,figure,,,,,yes,,yes,yes,,,,,,
figure_out,active,figure out,,,,,yes,,yes,,yes,,,,,
find,active,find,,,,,yes,,yes,yes,,,,,,
find_out,active,find out,,,,,yes,,yes,,yes,,,,,
flatter,passive,be flattered,,,,,yes,yes,,,,,,,,
flaunt,active,flaunt,yes,,yes,,,,,,,,,,,yes
flip_out,active,flip out,yes,yes,,,,,,,,,,,,
flip_out,passive,be flipped out,,,,,yes,yes,,,,,,,,
floor,passive,be floored,,,,,yes,yes,,,,,,,,
fluster,passive,be flustered,,,,,yes,yes,,,,,,,,
fool,passive,be fooled,,,,,yes,,,,,,yes,,,
forecast,active,forecast,yes,yes,,,,,,,,,,,,yes
foresee,active,foresee,,,,,yes,,yes,yes,,,,,,
foretell,active,foretell,yes,yes,,,,,,,,,,,,yes
foretell,passive,be foretold,,,,,yes,,,,,,yes,,,
forget,active,forget,,,,,yes,,yes,,yes,,,,,
forgive,active,forgive,,,,,yes,,yes,yes,,,,,,
forgive,passive,be forgiven,,,,,,,,,,,,yes,,
freak_out,active,freak out,,,,,yes,yes,,,,,,,,
freak_out,passive,be freaked out,,,,,yes,yes,,,,,,,,
fret,active,fret,,,,,yes,yes,,,,,,,,
frighten,passive,be frightened,,,,,yes,yes,,,,,,,,
frustrate,passive,be frustrated,,,,,yes,yes,,,,,,,,
