"","verb_renamed","verb","voice","predicateType","V.Mean.Sum","A.Mean.Sum","D.Mean.Sum","Mean.Proj","CILow","CIHigh","YMin.Proj","YMax.Proj"
"82","be consoled","console","passive","emotive",6.53,4.09,5.79,0.6,0.233333333333333,0.2,0.366666666666667,0.8
"83","be consulted","consult","passive","evidential",5.41,3.77,5.83,0.366666666666667,0.233333333333333,0.233333333333333,0.133333333333333,0.6
"84","be contacted","contact","passive","evidential",6.17,3.33,5.78,0.433333333333333,0.2,0.2,0.233333333333333,0.633333333333333
"85","contemplate","contemplate","active","cognitive",5.48,3.16,5.68,0.0666666666666667,0.2,0.2,-0.133333333333333,0.266666666666667
"86","contend","contend","active","communicative",5.37,4.33,5.28,0.0666666666666667,0.166666666666667,0.166666666666667,-0.1,0.233333333333333
"87","be content","content","passive","emotive",6.7,3.17,5.92,0.766666666666667,0.2,0.166666666666667,0.566666666666667,0.933333333333333
"88","contest","contest","active","communicative",5.85,3.77,4.93,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"89","convey","convey","active","communicative",5.1,3.83,5.1,0.4,0.2,0.233333333333333,0.2,0.633333333333333
"90","be convinced","convince","passive","cognitive",5.45,4.39,6.44,0.133333333333333,0.166666666666667,0.166666666666667,-0.0333333333333333,0.3
"91","corroborate","corroborate","active","communicative",5.5,3.88,5.41,0.166666666666667,0.2,0.2,-0.0333333333333333,0.366666666666667
"92","cringe","cringe","active","communicative",3.24,5.85,3.57,0.8,0.133333333333333,0.133333333333333,0.666666666666667,0.933333333333333
"93","be crushed","crush","passive","emotive",4.72,5.6,3.96,0.6,0.233333333333333,0.2,0.366666666666667,0.8
"94","cry","cry","active","communicative",3.22,5.45,2.56,0.833333333333333,0.133333333333333,0.133333333333333,0.7,0.966666666666667
"95","curse","curse","active","communicative",2.9,5.2,5.15,0.266666666666667,0.1675,0.166666666666667,0.0991666666666667,0.433333333333333
"96","daydream","daydream","active","cognitive",7.15,3.2,6.77,-0.166666666666667,0.166666666666667,0.2,-0.333333333333333,0.0333333333333333
"97","be dazed","daze","passive","emotive",4.14,4.5,4.58,0.7,0.233333333333333,0.2,0.466666666666667,0.9
"98","debate","debate","active","communicative",4.95,4.86,5.96,0.166666666666667,0.2,0.2,-0.0333333333333333,0.366666666666667
"99","be deceived","deceive","passive","evidential",2.95,5.9,4.58,0.1,0.233333333333333,0.233333333333333,-0.133333333333333,0.333333333333333
"100","decide","decide","active","cognitive",6.28,3.1,6.28,0.133333333333333,0.166666666666667,0.2,-0.0333333333333333,0.333333333333333
"101","declare","declare","active","communicative",5.42,4.4,6.13,0.266666666666667,0.166666666666667,0.167499999999999,0.1,0.434166666666666
"102","decree","decree","active","communicative",5.33,3.9,4.53,0.0666666666666667,0.233333333333333,0.234166666666666,-0.166666666666667,0.300833333333333
"103","deduce","deduce","active","cognitive",5.29,3.04,5.67,0.4,0.233333333333333,0.233333333333333,0.166666666666667,0.633333333333333
"104","be delighted","delight","passive","emotive",8.21,5.02,7.29,0.866666666666667,0.166666666666667,0.133333333333333,0.7,1
"105","be deluded","delude","passive","cognitive",3.62,3.95,4.35,-0.133333333333333,0.3,0.266666666666667,-0.433333333333333,0.133333333333333
"106","demand","demand","active","communicative",4.1,5.85,5.14,0.0333333333333333,0.133333333333333,0.133333333333333,-0.1,0.166666666666667
"107","demonstrate","demonstrate","active","communicative",5.47,4.14,6,0.137931034482759,0.242241379310345,0.241379310344828,-0.104310344827586,0.379310344827586
"108","denounce","denounce","active","communicative",4.24,4.08,4,0.333333333333333,0.233333333333333,0.233333333333333,0.1,0.566666666666667
"109","deny","deny","active","communicative",3.81,5.63,4.29,0.2,0.2,0.2,0,0.4
"110","depict","depict","active","communicative",4.74,3.88,5.71,0.133333333333333,0.200833333333333,0.233333333333333,-0.0675,0.366666666666667
"111","be depressed","depress","passive","emotive",2.47,3.14,3.67,0.733333333333333,0.166666666666667,0.133333333333333,0.566666666666667,0.866666666666667
"112","derive","derive","active","cognitive",4.72,2.9,5.95,-0.0333333333333333,0.233333333333333,0.2,-0.266666666666667,0.166666666666667
"113","describe","describe","active","communicative",5.9,2.95,5.55,0.3,0.166666666666667,0.166666666666667,0.133333333333333,0.466666666666667
"114","desire","desire","active","cognitive",7.05,6.2,6.07,0.1,0.166666666666667,0.166666666666667,-0.0666666666666667,0.266666666666667
"115","despair","despair","active","emotive",3.61,4.64,4.05,0.433333333333333,0.233333333333333,0.2,0.2,0.633333333333333
"116","despise","despise","active","emotive",3.08,4.77,4.38,0.733333333333333,0.2,0.166666666666667,0.533333333333333,0.9
"117","detail","detail","active","communicative",5.67,3.81,7.14,0.433333333333333,0.266666666666667,0.233333333333333,0.166666666666667,0.666666666666667
"118","detect","detect","active","cognitive",5.09,4.57,6.32,0.4,0.2,0.2,0.2,0.6
"119","determine","determine","active","cognitive",6,4.68,7.09,0.2,0.233333333333333,0.2,-0.0333333333333333,0.4
"120","detest","detest","active","emotive",3.05,5.09,4.65,0.766666666666667,0.133333333333333,0.133333333333333,0.633333333333333,0.9
"121","diagnose","diagnose","active","cognitive",5,3.72,4.71,0.233333333333333,0.166666666666667,0.166666666666667,0.0666666666666667,0.4
"122","dictate","dictate","active","communicative",4.4,3.24,4.96,0.266666666666667,0.166666666666667,0.166666666666667,0.1,0.433333333333333
"123","be disappointed","disappoint","passive","emotive",3.38,3.91,4.07,0.733333333333333,0.166666666666667,0.166666666666667,0.566666666666667,0.9
"124","disapprove","disapprove","active","emotive",3.55,3.81,5.21,0.633333333333333,0.1675,0.166666666666667,0.465833333333333,0.8
"125","disclose","disclose","active","communicative",4,4.45,5.89,0.666666666666667,0.233333333333333,0.2,0.433333333333333,0.866666666666667
"126","discover","discover","active","cognitive",7.18,5.7,6.79,0.3,0.233333333333333,0.233333333333333,0.0666666666666667,0.533333333333333
"127","discuss","discuss","active","communicative",5.89,2.76,6.44,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"128","be disgraced","disgrace","passive","emotive",2.45,4.28,3.32,0.7,0.233333333333333,0.2,0.466666666666667,0.9
"129","be disgusted","disgust","passive","emotive",3.32,5,4.84,0.933333333333333,0.1,0.0666666666666667,0.833333333333333,1
"130","dislike","dislike","active","emotive",3.25,4.27,5.81,0.827586206896552,0.137931034482759,0.103448275862069,0.689655172413793,0.931034482758621
"131","be dismayed","dismay","passive","emotive",3.1,2.85,3.95,0.758620689655172,0.206896551724138,0.172413793103448,0.551724137931034,0.931034482758621
"132","dismiss","dismiss","active","communicative",4.58,3.7,5.08,0.4,0.233333333333333,0.2,0.166666666666667,0.6
"133","display","display","active","communicative",6.19,3.81,6.48,0.3,0.166666666666667,0.166666666666667,0.133333333333333,0.466666666666667
"134","dispute","dispute","active","communicative",2.52,4.55,4.14,0.266666666666667,0.166666666666667,0.166666666666667,0.1,0.433333333333333
"135","disregard","disregard","active","cognitive",4.52,3.5,4.88,0.517241379310345,0.172413793103448,0.172413793103448,0.344827586206897,0.689655172413793
"136","be distressed","distress","passive","emotive",3.25,4,3.9,0.9,0.166666666666667,0.1,0.733333333333333,1
"137","be disturbed","disturb","passive","emotive",3.45,4.98,4.29,0.766666666666667,0.2,0.166666666666667,0.566666666666667,0.933333333333333
"138","divulge","divulge","active","communicative",4.79,5.43,5.04,0.5,0.2,0.166666666666667,0.3,0.666666666666667
"139","document","document","active","communicative",5.42,2.9,5.41,0.633333333333333,0.166666666666667,0.166666666666667,0.466666666666667,0.8
"140","doubt","doubt","active","cognitive",3.28,4.33,3.06,0.2,0.166666666666667,0.166666666666667,0.0333333333333333,0.366666666666667
"141","dread","dread","active","emotive",3,4.5,3.62,0.4,0.233333333333333,0.233333333333333,0.166666666666667,0.633333333333333
"142","dream","dream","active","cognitive",7.43,4.37,5.4,-0.2,0.2,0.2,-0.4,0
"143","be duped","dupe","passive","evidential",4,3.73,3.86,-0.0666666666666667,0.234166666666667,0.233333333333333,-0.300833333333333,0.166666666666667
"144","be educated","educate","passive","evidential",7.48,4.36,6.79,0.433333333333333,0.2,0.2,0.233333333333333,0.633333333333333
"145","elaborate","elaborate","active","communicative",6.38,4.23,6.05,0.4,0.166666666666667,0.166666666666667,0.233333333333333,0.566666666666667
"146","elect","elect","active","cognitive",5.52,4,5.43,0.166666666666667,0.2,0.2,-0.0333333333333333,0.366666666666667
"147","be emailed","email","passive","evidential",6,4.5,6.11,0.266666666666667,0.233333333333333,0.2,0.0333333333333333,0.466666666666667
"148","email","email","active","communicative",6,4.5,6.11,0.266666666666667,0.200833333333333,0.233333333333333,0.0658333333333334,0.5
"149","be embarrassed","embarrass","passive","emotive",3.38,5.47,4.22,0.9,0.133333333333333,0.1,0.766666666666667,1
"150","emphasize","emphasize","active","communicative",5.75,4.21,6.43,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667
"151","be encouraged","encourage","passive","emotive",7.16,4.38,6.2,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667
"152","endorse","endorse","active","communicative",5.2,3.17,6.45,0.233333333333333,0.2,0.2,0.0333333333333333,0.433333333333333
"153","enjoy","enjoy","active","emotive",7.67,5,7.28,0.866666666666667,0.166666666666667,0.133333333333333,0.7,1
"154","envision","envision","active","cognitive",6.14,3.76,6.64,0.0333333333333333,0.1,0.1,-0.0666666666666667,0.133333333333333
"155","envy","envy","active","emotive",3.05,4.35,3.16,0.666666666666667,0.2,0.166666666666667,0.466666666666667,0.833333333333333
"156","establish","establish","active","communicative",5.58,3.72,6.29,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"157","estimate","estimate","active","cognitive",5.95,3.41,5.43,0.1,0.133333333333333,0.133333333333333,-0.0333333333333333,0.233333333333333
"158","evaluate","evaluate","active","cognitive",5.1,3.78,6.2,0.266666666666667,0.166666666666667,0.2,0.1,0.466666666666667
"159","be excited","excite","passive","emotive",7.79,6.61,5.79,0.9,0.166666666666667,0.1,0.733333333333333,1
"160","exhibit","exhibit","active","communicative",5.77,5.48,6.21,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"161","expect","expect","active","cognitive",5.95,4.86,4.89,0.333333333333333,0.2,0.2,0.133333333333333,0.533333333333333
"162","explain","explain","active","communicative",5.41,4,6.22,0.6,0.2,0.166666666666667,0.4,0.766666666666667
"163","expose","expose","active","communicative",4.14,5.89,4.24,0.533333333333333,0.2,0.2,0.333333333333333,0.733333333333333
"164","express","express","active","communicative",5.53,4.79,6.57,0.166666666666667,0.166666666666667,0.2,0,0.366666666666667
"165","fake","fake","active","communicative",2.62,5.15,4.47,0.0333333333333333,0.2675,0.3,-0.234166666666667,0.333333333333333
"166","fantasize","fantasize","active","cognitive",7,5,6.65,-0.1,0.2,0.2,-0.3,0.1
"167","be fascinated","fascinate","passive","emotive",7,6.1,6.32,0.766666666666667,0.166666666666667,0.133333333333333,0.6,0.9
"168","fax","fax","active","communicative",5.24,3.37,5.67,0.0666666666666667,0.166666666666667,0.166666666666667,-0.1,0.233333333333333
"169","be faxed","fax","passive","evidential",5.24,3.37,5.67,0.266666666666667,0.233333333333333,0.233333333333333,0.0333333333333333,0.5
"170","fear","fear","active","emotive",2.93,6.14,3.32,0.333333333333333,0.166666666666667,0.166666666666667,0.166666666666667,0.5
"171","feel","feel","active","cognitive",6.27,4.05,5.5,0.0666666666666667,0.0666666666666667,0.1,0,0.166666666666667
"172","feign","feign","active","communicative",4.45,3.72,5.05,-0.133333333333333,0.266666666666667,0.266666666666667,-0.4,0.133333333333333
"173","figure","figure","active","cognitive",5.09,3.67,5.39,0.166666666666667,0.133333333333333,0.166666666666667,0.0333333333333333,0.333333333333333
"174","find","find","active","cognitive",6.45,3.52,6.24,0.133333333333333,0.266666666666667,0.3,-0.133333333333333,0.433333333333333
"175","be flattered","flatter","passive","emotive",6.1,4.61,6,0.8,0.2,0.133333333333333,0.6,0.933333333333333
"176","flaunt","flaunt","active","communicative",4.39,4.15,5.17,0.566666666666667,0.166666666666667,0.166666666666667,0.4,0.733333333333333
"177","be floored","floor","passive","emotive",5.14,3.33,6.39,0.866666666666667,0.2,0.133333333333333,0.666666666666667,1
"178","be fooled","fool","passive","evidential",3.56,4.86,2.94,-0.266666666666667,0.3,0.3,-0.566666666666667,0.0333333333333333
"179","forecast","forecast","active","communicative",4.89,3.7,4.73,0.0689655172413793,0.172413793103448,0.172413793103448,-0.103448275862069,0.241379310344828
"180","foresee","foresee","active","cognitive",5.67,3.64,6.05,0.5,0.166666666666667,0.166666666666667,0.333333333333333,0.666666666666667
"181","forget","forget","active","cognitive",3.73,4.43,3.5,0.866666666666667,0.133333333333333,0.1,0.733333333333333,0.966666666666667
"182","forgive","forgive","active","cognitive",7.06,3.62,6.44,0.833333333333333,0.133333333333333,0.133333333333333,0.7,0.966666666666667
"183","fret","fret","active","emotive",3.73,5.89,4.24,0.566666666666667,0.166666666666667,0.166666666666667,0.4,0.733333333333333
"184","be frightened","frighten","passive","emotive",2.95,4.85,2.71,0.633333333333333,0.233333333333333,0.2,0.4,0.833333333333333
"185","fuss","fuss","active","communicative",3.32,4.77,3.5,0.566666666666667,0.233333333333333,0.2,0.333333333333333,0.766666666666667
"186","gab","gab","active","communicative",5.2,3.78,4.04,0.5,0.2,0.166666666666667,0.3,0.666666666666667
"187","be galled","gall","passive","emotive",4.3,3.5,4.85,0.517241379310345,0.206896551724138,0.206896551724138,0.310344827586207,0.724137931034483
"188","gasp","gasp","active","communicative",4.5,5.61,4.68,0.466666666666667,0.2,0.2,0.266666666666667,0.666666666666667
"189","gather","gather","active","cognitive",5.72,3.7,6.16,0.333333333333333,0.233333333333333,0.233333333333333,0.1,0.566666666666667
"190","gauge","gauge","active","cognitive",5.17,3.5,5.23,0.266666666666667,0.166666666666667,0.2,0.1,0.466666666666667
"191","giggle","giggle","active","communicative",7.95,5.39,4.75,0.3,0.233333333333333,0.233333333333333,0.0666666666666667,0.533333333333333
"192","gloat","gloat","active","communicative",3.68,3.75,6.1,0.4,0.233333333333333,0.233333333333333,0.166666666666667,0.633333333333333
"193","gossip","gossip","active","communicative",3.5,3.91,3.94,0.233333333333333,0.166666666666667,0.166666666666667,0.0666666666666667,0.4
"194","grieve","grieve","active","emotive",2.8,4.56,3.38,0.466666666666667,0.200833333333333,0.200833333333333,0.265833333333333,0.667499999999999
"195","be grieved","grieve","passive","emotive",2.8,4.56,3.38,0.766666666666667,0.166666666666667,0.166666666666667,0.6,0.933333333333333
"196","grin","grin","active","communicative",7.66,5.65,5.58,0.333333333333333,0.133333333333333,0.2,0.2,0.533333333333333
"197","groan","groan","active","communicative",3.9,4.17,5.5,0.366666666666667,0.233333333333333,0.233333333333333,0.133333333333333,0.6
"198","growl","growl","active","communicative",4.43,3.95,5.11,0.482758620689655,0.206896551724138,0.206896551724138,0.275862068965517,0.689655172413793
"199","grunt","grunt","active","communicative",3.68,3.86,4.91,0.233333333333333,0.166666666666667,0.166666666666667,0.0666666666666667,0.4
"200","be guaranteed","guarantee","passive","evidential",6.17,3.67,6,0.233333333333333,0.2,0.166666666666667,0.0333333333333333,0.4
"201","guarantee","guarantee","active","communicative",6.17,3.67,6,0.266666666666667,0.2,0.167499999999999,0.0666666666666667,0.434166666666666
"202","gush","gush","active","communicative",5.32,5.57,5.19,0.466666666666667,0.233333333333333,0.233333333333333,0.233333333333333,0.7
"203","hate","hate","active","emotive",1.96,6.26,4.47,0.766666666666667,0.2,0.166666666666667,0.566666666666667,0.933333333333333
"204","hear","hear","active","evidential",6.68,3.62,6.71,0.6,0.166666666666667,0.166666666666667,0.433333333333333,0.766666666666667
"205","hint","hint","active","communicative",6.05,4.75,6.05,0.0666666666666667,0.166666666666667,0.166666666666667,-0.1,0.233333333333333
"206","holler","holler","active","communicative",3.68,4.75,5.62,0.1,0.2,0.2,-0.1,0.3
"207","hoot","hoot","active","communicative",6,4.91,5.32,0.4,0.2,0.2,0.2,0.6
"208","hope","hope","active","cognitive",7.48,5.29,6.78,0.0666666666666667,0.133333333333333,0.133333333333333,-0.0666666666666667,0.2
"209","howl","howl","active","communicative",5.29,5.6,5.28,0.4,0.233333333333333,0.234166666666666,0.166666666666667,0.634166666666666
"210","be humbled","humble","passive","emotive",6.52,3.18,6.27,0.8,0.166666666666667,0.133333333333333,0.633333333333333,0.933333333333333
"211","be hurt","hurt","passive","emotive",2.45,4.72,3.73,0.8,0.133333333333333,0.133333333333333,0.666666666666667,0.933333333333333
"212","identify","identify","active","cognitive",6,4.16,6.14,0.333333333333333,0.233333333333333,0.233333333333333,0.1,0.566666666666667
"213","ignore","ignore","active","cognitive",3.33,3.8,4.83,0.733333333333333,0.166666666666667,0.166666666666667,0.566666666666667,0.9
"214","imagine","imagine","active","cognitive",7.2,4.46,6.92,-0.0689655172413793,0.172413793103448,0.206896551724138,-0.241379310344828,0.137931034482759
"215","implore","implore","active","communicative",4.47,4.57,4.61,0.133333333333333,0.1,0.133333333333333,0.0333333333333333,0.266666666666667
"216","imply","imply","active","communicative",4.79,4,4.74,0.0666666666666667,0.166666666666667,0.166666666666667,-0.1,0.233333333333333
"217","be impressed","impress","passive","emotive",6.25,4.82,6.62,0.866666666666667,0.133333333333333,0.1,0.733333333333333,0.966666666666667
"218","be incensed","incense","passive","emotive",5.79,3.95,4.45,0.6,0.233333333333333,0.2,0.366666666666667,0.8
"219","indicate","indicate","active","communicative",5.05,3.32,5.75,0.366666666666667,0.166666666666667,0.2,0.2,0.566666666666667
"220","indict","indict","active","communicative",3.67,3.76,4.78,0.166666666666667,0.2,0.2,-0.0333333333333333,0.366666666666667
