verb,voice,verb_renamed,communicative,pure,discourse_participation,state_changing,private,emotive,cognitive,stative,telic,activity,evidential ,unclear_classification,unclear_usage,unclear_sub_classification,stative_predicate,dynamic_predicate
disregard,active,disregard,,,,,yes,,yes,yes,,,,,,,yes,
dissatisfy,passive,be dissatisfied,,,,,yes,yes,,,,,,,,,yes,
distress,passive,be distressed,,,,,yes,yes,,,,,,,,,yes,
disturb,passive,be disturbed,,,,,yes,yes,,,,,,,,,yes,
divulge,active,divulge,yes,,yes,,,,,,,,,,,,,yes
document,active,document,yes,yes,,,,,,,,,,,,,,yes
doubt,active,doubt,,,,,yes,,yes,yes,,,,,,,yes,
dread,active,dread,,,,,yes,yes,,,,,,,,,yes,
dream,active,dream,,,,,yes,,yes,,,yes,,,,,,yes
dupe,passive,be duped,,,,,yes,,,,,,yes,,,,,yes
educate,passive,be educated,,,,,yes,,,,,,yes,,,,,yes
elaborate,active,elaborate,yes,,yes,,,,,,,,,,,,,yes
elate,passive,be elated,,,,,yes,yes,,,,,,,,,yes,
elect,active,elect,,,,,yes,,yes,,yes,,,,,,,yes
email,active,email,yes,yes,,,,,,,,,,,,,,yes
email,passive,be emailed,,,,,yes,,,,,,yes,,,,,yes
embarrass,passive,be embarrassed,,,,,yes,yes,,,,,,,,,yes,
embellish,active,embellish,yes,yes,,,,,,,,,,,,,,yes
embitter,passive,be embittered,,,,,yes,yes,,,,,,,,,yes,
emphasize,active,emphasize,yes,yes,,,,,,,,,,,,,,yes
encourage,passive,be encouraged,,,,,yes,yes,,,,,,,,,yes,
endorse,active,endorse,yes,,yes,,,,,,,,,,,,,yes
enjoy,active,enjoy,,,,,yes,yes,,,,,,,,,yes,
enrage,passive,be enraged,,,,,yes,yes,,,,,,,,,yes,
ensure,active,ensure,,,,,,,,,,,,yes,,,,yes
enthrall,passive,be enthralled,,,,,yes,yes,,,,,,,,,yes,
enthuse,passive,be enthused,,,,,yes,yes,,,,,,,,,yes,
envision,active,envision,,,,,yes,,yes,yes,,,,,,,yes,
envy,active,envy,,,,,yes,yes,,,,,,,,,yes,
establish,active,establish,yes,,yes,,,,,,,,,,,,,yes
estimate,active,estimate,,,,,yes,,yes,yes,,,,,,,yes,
evaluate,active,evaluate,,,,,yes,,yes,,yes,,,,,,,yes
exasperate,passive,be exasperated,,,,,yes,yes,,,,,,,,,yes,
excite,passive,be excited,,,,,yes,yes,,,,,,,,,yes,
exclaim,active,exclaim,yes,yes,,,,,,,,,,,,,,yes
exhibit,active,exhibit,yes,yes,,,,,,,,,,,,,,yes
exhilarate,passive,be exhilarated,,,,,yes,yes,,,,,,,,,yes,
expect,active,expect,,,,,yes,,yes,yes,,,,,,,yes,
explain,active,explain,yes,,yes,,,,,,,,,,,,,yes
expose,active,expose,yes,,,yes,,,,,,,,,,,,yes
express,active,express,yes,yes,,,,,,,,,,,,,,yes
fabricate,active,fabricate,yes,,,yes,,,,,,,,,,,,yes
fake,active,fake,yes,,,yes,,,,,,,,,,,,yes
fantasize,active,fantasize,,,,,yes,,yes,,,yes,,,,,,yes
fascinate,passive,be fascinated,,,,,yes,yes,,,,,,,,,yes,
fax,active,fax,yes,yes,,,,,,,,,,,,,,yes
fax,passive,be faxed,,,,,yes,,,,,,yes,,,,,yes
fear,active,fear,,,,,yes,yes,yes,yes,,,,,,,yes,
feel,active,feel,,,,,yes,,yes,yes,,,,,,,yes,
feign,active,feign,yes,,,yes,,,,,,,,,,,,yes
fess_up,active,fess up,yes,,yes,,,,,,,,,,,,,yes
figure,active,figure,,,,,yes,,yes,yes,,,,,,,yes,
figure_out,active,figure out,,,,,yes,,yes,,yes,,,,,,,yes
find,active,find,,,,,yes,,yes,yes,,,,,,,yes,
find_out,active,find out,,,,,yes,,yes,,yes,,,,,,,yes
flatter,passive,be flattered,,,,,yes,yes,,,,,,,,,yes,
flaunt,active,flaunt,yes,,yes,,,,,,,,,,,yes,,yes
flip_out,active,flip out,yes,yes,,,,,,,,,,,,,,yes
flip_out,passive,be flipped out,,,,,yes,yes,,,,,,,,,yes,
floor,passive,be floored,,,,,yes,yes,,,,,,,,,yes,
fluster,passive,be flustered,,,,,yes,yes,,,,,,,,,yes,
fool,passive,be fooled,,,,,yes,,,,,,yes,,,,,yes
forecast,active,forecast,yes,yes,,,,,,,,,,,,yes,,yes
foresee,active,foresee,,,,,yes,,yes,yes,,,,,,,yes,
foretell,active,foretell,yes,yes,,,,,,,,,,,,yes,,yes
foretell,passive,be foretold,,,,,yes,,,,,,yes,,,,,yes
forget,active,forget,,,,,yes,,yes,yes,,,,,,,yes,
forgive,active,forgive,,,,,yes,,yes,,yes,,,,,,,yes
forgive,passive,be forgiven,,,,,,,,,,,,yes,,,,yes
freak_out,active,freak out,,,,,yes,yes,,,,,,,,,yes,
freak_out,passive,be freaked out,,,,,yes,yes,,,,,,,,,yes,
fret,active,fret,,,,,yes,yes,,,,,,,,,yes,
frighten,passive,be frightened,,,,,yes,yes,,,,,,,,,yes,
frustrate,passive,be frustrated,,,,,yes,yes,,,,,,,,,yes,
fuss,active,fuss,yes,,yes,,,,,,,,,,,,,yes
gab,active,gab,yes,yes,,,,,,,,,,,,,,yes
gall,passive,be galled,,,,,yes,yes,,,,,,,,,yes,
gasp,active,gasp,yes,yes,,,,,,,,,,,,,,yes
gather,active,gather,,,,,yes,,yes,,yes,,,,,,,yes
gauge,active,gauge,,,,,yes,,yes,,yes,,,,,,,yes
generalize,active,generalize,yes,,,yes,,,,,,,,,,,,yes
giggle,active,giggle,yes,yes,,,,,,,,,,,,,,yes
gladden,passive,be gladdened,,,,,yes,yes,,,,,,,,,yes,
gloat,active,gloat,yes,yes,,,,,,,,,,,,,,yes
gossip,active,gossip,yes,,yes,,,,,,,,,,,,,yes
gratify,passive,be gratified,,,,,yes,yes,,,,,,,,,yes,
grieve,active,grieve,,,,,yes,yes,,,,,,,,,yes,
grieve,passive,be grieved,,,,,yes,yes,,,,,,,,,yes,
grimace,active,grimace,yes,yes,,,,,,,,,,,,,,yes
grin,active,grin,yes,yes,,,,,,,,,,,,,,yes
groan,active,groan,yes,yes,,,,,,,,,,,,,,yes
growl,active,growl,yes,yes,,,,,,,,,,,,,,yes
grumble,active,grumble,yes,yes,,,,,,,,,,,,,,yes
grunt,active,grunt,yes,yes,,,,,,,,,,,,,,yes
guarantee,active,guarantee,yes,,,yes,,,,,,,,,,,,yes
guarantee,passive,be guaranteed,,,,,yes,,,,,,yes,,,,,yes
guess,active,guess,yes,,yes,,yes,,yes,yes,,,,,,,yes,yes
gush,active,gush,yes,yes,,,,,,,,,,,,,,yes
hallucinate,active,hallucinate,,,,,yes,,yes,,,yes,,,,,,yes
hate,active,hate,,,,,yes,yes,,,,,,,,,yes,
hear,active,hear,,,,,yes,,,,,,yes,,,,yes,
hearten,passive,be heartened,,,,,yes,yes,,,,,,,,,yes,
hint,active,hint,yes,,yes,,,,,,,,,,,,,yes
holler,active,holler,yes,yes,,,,,,,,,,,,,,yes
hoot,active,hoot,yes,yes,,,,,,,,,,,,,,yes
hope,active,hope,,,,,yes,,yes,yes,,,,,,,yes,
horrify,passive,be horrified,,,,,yes,yes,,,,,,,,,yes,
howl,active,howl,yes,yes,,,,,,,,,,,,,,yes
humble,passive,be humbled,,,,,yes,yes,,,,,,,,,yes,
hurt,passive,be hurt,,,,,yes,yes,,,,,,,,,yes,
hush_up,active,hush up,yes,,,yes,,,,,,,,,,,,yes
identify,active,identify,,,,,yes,,yes,,yes,,,,,,,yes
ignore,active,ignore,,,,,yes,,yes,yes,,,,,,,yes,
imagine,active,imagine,,,,,yes,,yes,yes,,yes,,,,,,yes
implore,active,implore,yes,,,yes,,,,,,,,,,,,yes
imply,active,imply,yes,,yes,,,,,,,,,,,,,yes
impress,passive,be impressed,,,,,yes,yes,,,,,,,,,yes,
incense,passive,be incensed,,,,,yes,yes,,,,,,,,,yes,
indicate,active,indicate,yes,,yes,,,,,,,,,,,,,yes
indict,active,indict,yes,,yes,,,,,,,,,,,,,yes
infer,active,infer,,,,,yes,,yes,,yes,,,,,,,yes
inform,passive,be informed,,,,,yes,,,,,,yes,,,,,yes
infuriate,passive,be infuriated,,,,,yes,yes,,,,,,,,,yes,
insinuate,active,insinuate,yes,,yes,,,,,,,,,,,,,yes
insist,active,insist,yes,,,yes,,,,,,,,,,,,yes
instruct,passive,be instructed,,,,,yes,,,,,,yes,,,,,yes
insult,passive,be insulted,,,,,yes,yes,,,,,,,,,yes,
intercept,active,intercept,,,,,yes,,,,,,yes,,,,,yes
interest,passive,be interested,,,,,yes,yes,,,,,,,,,yes,
intimidate,passive,be intimidated,,,,,yes,yes,,,,,,,,,yes,
intrigue,passive,be intrigued,,,,,yes,yes,,,,,,,,,yes,
investigate,active,investigate,,,,,yes,,yes,,yes,,,,,,,yes
invigorate,passive,be invigorated,,,,,yes,yes,,,,,,,,,yes,
irk,passive,be irked,,,,,yes,yes,,,,,,,,,yes,
irritate,passive,be irritated,,,,,yes,yes,,,,,,,,,yes,
jade,passive,be jaded,,,,,yes,yes,,,,,,,yes,,yes,
jar,passive,be jarred,,,,,yes,yes,,,,,,,,,yes,
jest,active,jest,yes,yes,,,,,,,,,,,,,,yes
joke,active,joke,yes,yes,,,,,,,,,,,,,,yes
judge,active,judge,,,,,yes,,yes,,yes,,,,,,,yes
know,active,know,,,,,yes,,yes,yes,,,,,,,yes,
leak,active,leak,yes,,yes,,,,,,,,,,,,,yes
learn,active,learn,,,,,yes,,yes,,yes,,,,,,,yes
lecture,active,lecture,yes,,yes,,,,,,,,,,,,,yes
lie,active,lie,yes,,,yes,,,,,,,,,,,,yes
like,active,like,,,,,yes,yes,,,,,,,,,yes,
listen,active,listen,,,,,,,,,,,,yes,yes,,,yes
loathe,active,loathe,,,,,yes,yes,,,,,,,,,yes,
log,active,log,yes,yes,,,,,,,,,,,,,,yes
love,active,love,,,,,yes,yes,,,,,,,,,yes,
madden,passive,be maddened,,,,,yes,yes,,,,,,,,,yes,
maintain,active,maintain,yes,,yes,,,,,,,,,,,,,yes
manufacture,active,manufacture,yes,,,yes,,,,,,,,,,,,yes
mark,active,mark,yes,yes,,,,,,,,,,,,,,yes
marvel,active,marvel,,,,,yes,yes,,,,,,,,,yes,
marvel,passive,be marvelled,,,,,yes,yes,,,,,,,,,yes,
measure,active,measure,,,,,yes,,yes,,yes,,,,,,,yes
mention,active,mention,yes,,yes,,,,,,,,,,,,,yes
miff,passive,be miffed,,,,,yes,yes,,,,,,,,,yes,
misinform,passive,be misinformed,,,,,yes,,,,,,yes,,,,,yes
mislead,passive,be misled,,,,,yes,,,,,,yes,,,,,yes
miss,active,miss,,,,,yes,,yes,yes,,,,,,,yes,
moan,active,moan,yes,yes,,,,,,,,,,,,,,yes
mortify,passive,be mortified,,,,,yes,yes,,,,,,,,,yes,
mourn,active,mourn,,,,,yes,yes,,,,,,,,,yes,
move,passive,be moved,,,,,yes,yes,,,,,,,,,yes,
mumble,active,mumble,yes,yes,,,,,,,,,,,,,,yes
murmur,active,murmur,yes,yes,,,,,,,,,,,,,,yes
muse,active,muse,,,,,yes,,yes,,,yes,,,,,,yes
mutter,active,mutter,yes,yes,,,,,,,,,,,,,,yes
mystify,passive,be mystified,,,,,yes,yes,,,,,,,,,yes,
narrate,active,narrate,yes,yes,,,,,,,,,,,,,,yes
negotiate,active,negotiate,yes,,,yes,,,,,,,,,,,,yes
nonplus,passive,be nonplussed,,,,,yes,yes,,,,,,,,,yes,
note,active,note,yes,,yes,,,,,,,,,,,,,yes
notice,active,notice,,,,,yes,,yes,yes,,,,,,,yes,
notify,passive,be notified,,,,,yes,,,,,,yes,,,,,yes
observe,active,observe,,,,,yes,,,,,,yes,,,,,yes
obsess,passive,be obsessed,,,,,yes,yes,,,,,,,,,yes,
offend,passive,be offended,,,,,yes,yes,,,,,,,,,yes,
okay,active,okay,yes,,yes,,,,,,,,,,,,,yes
omit,active,omit,,,,,,,,,,,,yes,,,,
ordain,active,ordain,yes,,yes,,,,,,,,,,,,,yes
outrage,passive,be outraged,,,,,yes,yes,,,,,,,,,yes,
overhear,active,overhear,,,,,yes,,,,,,yes,,,,,yes
overhear,passive,be overheard,,,,,,,,,,,,yes,yes,,,yes
overlook,active,overlook,,,,,yes,,yes,yes,,,,,,,yes,
overwhelm,passive,be overwhelmed,,,,,yes,yes,,,,,,,,,yes,
pain,passive,be pained,,,,,yes,yes,,,,,,,,,yes,
panic,active,panic,,,,,yes,yes,,,,,,,,,yes,
panic,passive,be panicked,,,,,yes,yes,,,,,,,,,yes,
perceive,active,perceive,,,,,yes,,yes,yes,,,yes,,,,yes,
perplex,passive,be perplexed,,,,,yes,yes,,,,,,,,,yes,
persuade,passive,be persuaded,,,,,yes,,,,,,yes,,,,,yes
pester,passive,be pestered,,,,,yes,,,,,,yes,,,,,yes
petrify,passive,be petrified,,,,,yes,yes,,,,,,,,,yes,
phone,active,phone,yes,yes,,,,,,,,,,,,,,yes
picture,active,picture,,,,,yes,,yes,,,yes,,,,,,yes
piece_together,active,piece together,,,,,yes,,yes,,yes,,,,,,,yes
pinpoint,active,pinpoint,yes,,,yes,yes,,yes,,yes,,,,,,,yes
pity,active,pity,,,,,yes,yes,,,,,,,,,yes,
please,passive,be pleased,,,,,yes,yes,,,,,,,,,yes,
point_out,active,point out,yes,,yes,,,,,,,,,,,,,yes
ponder,active,ponder,,,,,yes,,yes,,,yes,,,,,,yes
posit,active,posit,yes,,yes,,,,,,,,,,,,,yes
post,active,post,yes,yes,,,,,,,,,,,,,,yes
pout,active,pout,yes,yes,,,,,,,,,,,,,,yes
praise,active,praise,yes,,yes,,,,,,,,,,,,,yes
pray,active,pray,,,,,yes,,yes,,,yes,,,,,,yes
preach,active,preach,yes,,yes,,,,,,,,,,,,,yes
predict,active,predict,yes,,yes,,,,,,,,,,,,,yes
prejudge,active,prejudge,,,,,yes,,yes,,yes,,,,,,,yes
presume,active,presume,,,,,yes,,yes,yes,,,,,,,yes,
presuppose,active,presuppose,,,,,yes,,yes,yes,,,,,,,yes,
pretend,active,pretend,yes,,,yes,,,,,,,,,,,,yes
proclaim,active,proclaim,yes,,yes,,,,,,,,,,,,,yes
promise,active,promise,yes,,,yes,,,,,,,,,,,,yes
promise,passive,be promised,,,,,yes,,,,,,yes,,,,,yes
prophesy,active,prophesy,yes,yes,,,,,,,,,,,,,,yes
propose,active,propose,yes,,yes,,,,,,,,,,,,,yes
prove,active,prove,yes,,,yes,,,,,,,,,,,,yes
publicize,active,publicize,yes,yes,,,,,,,,,,,,,,yes
publish,active,publish,yes,yes,,,,,,,,,,,,,,yes
puzzle,passive,be puzzled,,,,,yes,yes,,,,,,,,,yes,
quarrel,active,quarrel,yes,,yes,,,,,,,,,,,,,yes
question,active,question,yes,,yes,,,,,,,,,,,,,yes
question,passive,be questioned,,,,,,,,,,,,yes,yes,,,yes
quip,active,quip,yes,yes,,,,,,,,,,,,,,yes
quote,passive,be quoted,,,,,yes,,,,,,yes,,,,,yes
radio,active,radio,yes,yes,,,,,,,,,,,,,,yes
radio,passive,be radioed,,,,,yes,,,,,,yes,,,,,yes
rant,active,rant,yes,yes,,,,,,,,,,,,,,yes
rationalize,active,rationalize,,,,,yes,,yes,,yes,,,,,,,yes
rave,active,rave,yes,yes,,,,,,,,,,,,,,yes
read,active,read,,,,,yes,,,,,,yes,,,,,yes
reaffirm,active,reaffirm,yes,,yes,,,,,,,,,,,,,yes
reaffirm,passive,be reaffirmed,,,,,,,,,,,,yes,yes,,,yes
realize,active,realize,,,,,yes,,yes,,yes,,,,,,,yes
reason,active,reason,,,,,yes,,yes,,yes,,,,,,,yes
reason_out,active,reason out,,,,,yes,,yes,,yes,,,,,,,yes
reassert,active,reassert,yes,,yes,,,,,,,,,,,,,yes
reassure,passive,be reassured,,,,,yes,,,,,,yes,,,,,yes
recall,active,recall,,,,,yes,,yes,yes,,,,,,,yes,
recap,active,recap,yes,,yes,,,,,,,,,,,,,yes
reckon,active,reckon,,,,,yes,,yes,yes,,,,,,,yes,
recognize,active,recognize,,,,,yes,,yes,yes,,,,,,,yes,
recollect,active,recollect,,,,,yes,,yes,yes,,,,,,,yes,
reconsider,active,reconsider,,,,,yes,,yes,,yes,,,,,,,yes
record,active,record,yes,yes,,,,,,,,,,,,,,yes
rediscover,active,rediscover,,,,,yes,,yes,,yes,,,,,,,yes
regret,active,regret,,,,,yes,yes,,,,,,,,,yes,
reiterate,active,reiterate,yes,,yes,,,,,,,,,,,,,yes
reject,active,reject,yes,,yes,,,,,,,,,,,,,yes
relate,active,relate,yes,,yes,,,,,,,,,,,,,yes
relieve,passive,be relieved,,,,,yes,yes,,,,,,,,,yes,
relish,active,relish,,,,,yes,yes,,,,,,,,,yes,
remark,active,remark,yes,yes,,,,,,,,,,,,,,yes
remember,active,remember,,,,,yes,,yes,yes,,,,,,,yes,
remind,passive,be reminded,,,,,yes,,,,,,yes,,,,,yes
