verb,voice,verb renamed,communicative,private,emotive,cognitive,stative cognitive,eventive cognitive with conclusion,eventive cognitive without conclusion,evidential ,negative,"state 
changing","discourse 
participation","unclear
classification","unclear
usage"
find_out,active,find out,,yes,,yes,,yes,,,,,,,
flatter,passive,be flattered,,yes,yes,,,,,,,,,,
flaunt,active,flaunt,yes,,,,,,,,,,,,
flip_out,active,flip out,yes,,,,,,,,,,,,
flip_out,passive,be flipped out,,yes,yes,,,,,,,,,,
floor,passive,be floored,,yes,yes,,,,,,,,,,
fluster,passive,be flustered,,yes,yes,,,,,,,,,,
fool,passive,be fooled,,yes,,,,,,yes,,,,,
forecast,active,forecast,yes,,,,,,,,,,,,
foresee,active,foresee,,yes,,yes,,yes,,,,,,,
foretell,active,foretell,yes,,,,,,,,,,,,
foretell,passive,be foretold,,yes,,,,,,yes,,,,,
forget,active,forget,,yes,,yes,,?,,,,,,,
forgive,active,forgive,,yes,,yes,?,,,,,,,,
forgive,passive,be forgiven,,,,,,,,,,,,yes,
freak_out,active,freak out,yes,,,,,,,,,,,,
freak_out,passive,be freaked out,,yes,yes,,,,,,,,,,
fret,active,fret,,yes,yes,,,,,,,,,,
frighten,passive,be frightened,,yes,yes,,,,,,,,,,
frustrate,passive,be frustrated,,yes,yes,,,,,,,,,,
fuss,active,fuss,yes,,,,,,,,,,,,
gab,active,gab,yes,,,,,,,,,,,,
gall,passive,be galled,,yes,yes,,,,,,,,,,
gasp,active,gasp,yes,,,,,,,,,,,,
gather,active,gather,,yes,,yes,,yes,,,,,,,
gauge,active,gauge,,yes,,yes,,yes,,,,,,,
generalize,active,generalize,,yes,,yes,,yes,,,,,,,
giggle,active,giggle,yes,,,,,,,,,,,,
gladden,passive,be gladdened,,yes,yes,,,,,,,,,,
gloat,active,gloat,yes,,,,,,,,,,,,
gossip,active,gossip,yes,,,,,,,,,,,,
gratify,passive,be gratified,,yes,yes,,,,,,,,,,
grieve,active,grieve,,yes,yes,,,,,,,,,,
grieve,passive,be grieved,,yes,yes,,,,,,,,,,
grimace,active,grimace,yes,,,,,,,,,,,,
grin,active,grin,yes,,,,,,,,,,,,
groan,active,groan,yes,,,,,,,,,,,,
growl,active,growl,yes,,,,,,,,,,,,
grumble,active,grumble,yes,,,,,,,,,,,,
grunt,active,grunt,yes,,,,,,,,,,,,
guarantee,active,guarantee,yes,,,,,,,,,yes,,,
guarantee,passive,be guaranteed,,yes,,,,,,yes,,,,,
guess,active,guess,,yes,,yes,,yes,,,,,,,
gush,active,gush,yes,,,,,,,,,,,,
hallucinate,active,hallucinate,,yes,,yes,,,yes,,,,,,
hate,active,hate,,yes,yes,,,,,,,,,,
hear,active,hear,,yes,,,,,,yes,,,,,
hearten,passive,be heartened,,yes,yes,,,,,,,,,,
hint,active,hint,yes,,,,,,,,,yes,,,
holler,active,holler,yes,,,,,,,,,,,,
hoot,active,hoot,yes,,,,,,,,,,,,
hope,active,hope,,yes,,yes,yes,,,,,,,,
horrify,passive,be horrified,,yes,yes,,,,,,,,,,
howl,active,howl,yes,,,,,,,,,,,,
humble,passive,be humbled,,yes,yes,,,,,,,,,,
hurt,passive,be hurt,,yes,yes,,,,,,,,,,
hush_up,active,hush up,,,,,,,,,,,,yes,
identify,active,identify,,yes,,yes,,yes,,,,,,,
ignore,active,ignore,,yes,,,,,,,,,,,
imagine,active,imagine,,yes,,yes,,,yes,,,,,,
implore,active,implore,yes,,,,,,,,,yes,,,
imply,active,imply,yes,,,,,,,,,yes,,,
impress,passive,be impressed,,yes,yes,,,,,,,,,,
incense,passive,be incensed,,yes,yes,,,,,,,,,,
indicate,active,indicate,yes,,,,,,,,,yes,,,
indict,active,indict,yes,,,,,,,,,,,,yes
infer,active,infer,,yes,,yes,,yes,,,,,,,
inform,passive,be informed,,yes,,,,,,yes,,,,,
infuriate,passive,be infuriated,,yes,yes,,,,,,,,,,
insinuate,active,insinuate,yes,,,,,,,,,yes,,,
insist,active,insist,yes,,,,,,,,,yes,,,
instruct,passive,be instructed,,yes,,,,,,yes,,,,,
insult,passive,be insulted,,yes,yes,,,,,,,,,,
intercept,active,intercept,,yes,,,,,,yes,,,,,
interest,passive,be interested,,yes,yes,,,,,,,,,,
intimidate,passive,be intimidated,,yes,yes,,,,,,,,,,
intrigue,passive,be intrigued,,yes,yes,,,,,,,,,,
investigate,active,investigate,,yes,,yes,,yes,,,,,,,
invigorate,passive,be invigorated,,yes,yes,,,,,,,,,,
irk,passive,be irked,,yes,yes,,,,,,,,,,
irritate,passive,be irritated,,yes,yes,,,,,,,,,,
jade,passive,be jaded,,yes,,,,,,,,,,,yes
jar,passive,be jarred,,yes,yes,,,,,,,,,,
jest,active,jest,yes,,,,,,,,?,,,,
joke,active,joke,yes,,,,,,,,?,,,,
judge,active,judge,,yes,,yes,,yes,,,,,,,
know,active,know,,yes,,yes,yes,,,,,,,,
leak,active,leak,yes,,,,,,,,,,,,
learn,active,learn,,yes,,yes,,yes,,,,,,,
lecture,active,lecture,yes,,,,,,,,,,,,
lie,active,lie,yes,,,,,,,,yes,,,,
like,active,like,,yes,yes,,,,,,,,,,
listen,active,listen,,,,,,,,,,,,yes,yes
loathe,active,loathe,,yes,yes,,,,,,,,,,
log,active,log,yes,,,,,,,,,,,,
love,active,love,,yes,yes,,,,,,,,,,
madden,passive,be maddened,,yes,yes,,,,,,,,,,
maintain,active,maintain,yes,,,,,,,,,,yes,,
manufacture,active,manufacture,yes,,,,,,,,yes,,,,
mark,active,mark,yes,,,,,,,,,,,,
marvel,active,marvel,,yes,yes,,,,,,,,,,
marvel,passive,be marvelled,,yes,yes,,,,,,,,,,
measure,active,measure,,yes,,yes,,yes,,,,,,,
mention,active,mention,yes,,,,,,,,,,,,
miff,passive,be miffed,,yes,yes,,,,,,,,,,
misinform,passive,be misinformed,,yes,,,,,,yes,,,,,
mislead,passive,be misled,,yes,,,,,,yes,,,,,
miss,active,miss,,yes,,yes,,?,,,,,,,
moan,active,moan,yes,,,,,,,,,,,,
mortify,passive,be mortified,,yes,yes,,,,,,,,,,
mourn,active,mourn,,yes,yes,,,,,,,,,,
move,passive,be moved,,yes,yes,,,,,,,,,,
mumble,active,mumble,yes,,,,,,,,,,,,
murmur,active,murmur,yes,,,,,,,,,,,,
muse,active,muse,,yes,,yes,,,yes,,,,,,
mutter,active,mutter,yes,,,,,,,,,,,,
mystify,passive,be mystified,,yes,yes,,,,,,,,,,
narrate,active,narrate,yes,,,,,,,,,,,,
negotiate,active,negotiate,yes,,,,,,,,,yes,,,
nonplus,passive,be nonplussed,,yes,yes,,,,,,,,,,
